CIK,Ticker,Date,% day,% week,% month,10day Vol,Percent Change,Increased?,flesch reading ease,flesch kincaid,gunning fog,smog index,ARI,coleman,linsear,dale chall,TextBlob,NLTK neg,NLTK neu,NLTK pos
757011,USG,2/10/2016,-1.713395639,8.463136033,-13.18795431,0.04617939,-4.883116883,0,42.72,12.3,10,11.2,15,14.91,8.5,6.28,0.060040255,0.047,0.807,0.145
760498,BANF,3/11/2016,0.38981289,-4.054054054,3.465003465,0.015273986,1.233709818,1,41.7,12.7,10.4,11.2,15.5,14.91,8.5,6.14,0.060804595,0.053,0.809,0.138
761648,CDR,2/19/2016,#N/A,#N/A,#N/A,0.012974944,3.165467626,1,51.18,11.1,10,8.8,14,13.98,11,6.39,0.048897352,0.062,0.803,0.134
763532,LYTS,9/7/2016,-0.195886386,-0.97943193,-10.77375122,0.012549696,3.831041257,1,42.72,12.3,10,11.2,15.2,14.97,8,5.94,0.058322181,0.045,0.813,0.141
763563,CHMG,3/11/2016,1.286764706,-0.220588235,-0.138602941,0.010335391,3.245283019,1,39.67,13.4,11.2,11.2,16.4,14.86,8,6.1,0.061478102,0.042,0.81,0.148
763744,DW,2/29/2016,#N/A,#N/A,#N/A,0.0170298,-3.827751196,0,40.69,13.1,10.8,11.2,16.1,15.44,8.5,1.86,0.053201339,0.042,0.84,0.118
763901,BPOP,2/29/2016,0,2.585237917,7.231172724,0.016467841,2.452830189,1,39.67,13.4,11.2,11.2,16.2,15.21,11.5,5.95,0.088807836,0.053,0.787,0.16
763907,FUNC,3/9/2016,-0.626678603,4.72694718,13.69740376,0.017912165,-0.360036004,0,40.69,13.1,10.8,11.2,15.3,14.45,11.5,5.65,0.075241238,0.046,0.789,0.165
764065,CLF,2/24/2016,-11.11111111,-16.66666667,#N/A,0.044686633,1.657458564,1,41.7,12.7,10.4,11.2,15.3,14.74,14,6.27,0.049980995,0.046,0.814,0.14
764478,BBY,3/23/2016,-0.78125,0.6875,6.125,0.017096818,-1.54185022,0,41.7,12.7,10.4,11.2,16,15.49,14.5,6.65,0.09777288,0.046,0.809,0.145
764579,CASM,3/30/2016,-3.334481571,-6.786083362,-13.6755081,0.016672381,-2.068965517,0,38.66,13.8,11.6,11.2,16,14.28,11,5.77,0.044724811,0.052,0.815,0.132
764622,PNW,2/19/2016,0.888362452,0.148060409,4.10127332,0.007379139,3.082851638,1,41.7,12.7,10.4,8.8,14.9,14.33,8,5.77,0.048595388,0.039,0.818,0.143
764811,COB,3/11/2016,1.393188854,-1.160990712,0.154798762,0.009154711,0.310559006,0,42.72,12.3,10,11.2,14.9,14.74,14,5.93,0.061885959,0.05,0.802,0.148
765207,FNLC,3/11/2016,0.422609614,-1.215002641,-0.211304807,0.008470055,-0.900423729,0,39.67,13.4,11.2,11.2,16.5,15.44,13.5,5.84,0.059698932,0.054,0.806,0.14
765880,HCP,2/9/2016,-10.35769829,-11.57076205,-13.99688958,0.053876037,-19.94704325,0,39.67,13.4,11.2,11.2,16.4,15.03,5.5,6.07,0.062264964,0.048,0.811,0.141
766421,ALK,2/11/2016,-1.488004859,-1.897965381,-8.047373216,0.02903418,2.393776182,1,30.2,15,11.6,11.2,17.6,16.19,8.5,6.22,0.052605669,0.034,0.803,0.164
766704,HCN,2/18/2016,1.666666667,4.070175439,-17.49122807,0.033374761,4.723155846,1,41.7,12.7,10.4,11.2,15.6,14.85,14,6.53,0.055277675,0.042,0.797,0.161
766792,CVV,3/30/2016,2.941176471,-1.764705882,2,0.025855759,-0.591016549,0,43.73,11.9,9.6,8.8,14.1,14.33,8.5,5.76,0.061227687,0.044,0.841,0.116
766829,SJW,2/26/2016,1.994609164,8.355795148,18.89487871,0.022348496,-2,0,41.7,12.7,10.4,11.2,15.8,15.32,11,6.34,0.044186978,0.048,0.841,0.11
767405,SBFG,3/11/2016,#N/A,-1.094527363,-0.600995025,0.013580578,2.797202797,1,40.69,13.1,10.8,11.2,15.7,14.91,14,6.53,0.065733385,0.053,0.8,0.146
768408,CYAN,6/23/2016,-5.070993915,-3.868154158,-1.427991886,0.030160672,2.038733903,1,36.63,14.6,12.4,11.2,17.4,14.51,13.5,6.38,0.065066454,0.049,0.811,0.14
768411,CYBE,3/9/2016,0.307692308,1.538461538,8.717948718,0.007331272,1.322981366,1,42.72,12.3,10,11.2,15.2,15.37,14,6.56,0.072192308,0.054,0.828,0.118
768710,RELV,3/24/2016,-1.944444444,-18.05555556,-22.22222222,0.266023168,536.4545455,1,40.69,13.1,10.8,11.2,15.7,14.8,13.5,5.97,0.053603212,0.022,0.845,0.132
768835,BIG,3/29/2016,2.252152793,0.551998234,11.08412453,0.012033587,0.642730497,0,33.24,13.8,10.4,11.2,16,15.43,11,5.95,0.055811745,0.045,0.822,0.132
768899,TBI,2/22/2016,0,4.088888889,-0.177777778,0.018267464,-2.629272568,0,40.69,13.1,10.8,11.2,16.6,15.67,14,5.91,0.072921057,0.035,0.825,0.14
