CIK,Ticker,Date,% change day,% change week,% change month,10day Vol,Percent Change,Increased?,flesch reading ease,flesch kincaid,gunning fog,smog index,ARI,coleman,linsear,dale chall,textblob sentiment,NLTK Negative,NLTK Neutral,NLTK Positive
1409493,CIM,3/2/2015,0,-0.310559006,4.658385093,1.739744933,-1.242236025,0,36.63,14.6,12.4,11.2,17.1,14.39,7.5,5.82,0.074287867,0.055,0.77,0.175
1093691,PLUG,5/1/2017,0,5.652173913,42.60869565,0.031595746,-1.304347826,0,36.63,14.6,12.4,11.2,16.8,14.1,8,2,0.049710986,0.042,0.828,0.13
1561743,KIN,3/13/2015,-1.329394387,1.329394387,2.215657312,0.012685224,-1.311953353,0,36.63,14.6,12.4,11.2,17.5,14.74,8.5,6.32,0.060310731,0.053,0.812,0.134
1524769,CHKR,3/12/2015,0.891530461,1.634472511,-16.1961367,0.023285095,-1.349325337,0,36.63,14.6,12.4,11.2,17.8,14.97,9,5.97,0.046823306,0.037,0.767,0.196
1437578,BFAM,3/2/2015,0,0.078911028,3.846912606,0.002724371,-1.36121523,0,36.63,14.6,12.4,11.2,17.5,14.39,8,5.98,0.056137127,0.041,0.806,0.153
945394,HPT,3/1/2017,0.6875,0.34375,2.75,0.005623972,-1.384518565,0,36.63,14.6,12.4,11.2,17.2,14.51,11,5.88,,,,
101984,UEIC,3/11/2016,1.457055215,12.71472393,25.41411043,0.020097883,-1.431906615,0,36.63,14.6,12.4,11.2,17.8,15.26,11,5.96,0.069459745,0.044,0.815,0.141
1048286,MAR,2/18/2016,-2.679396366,5.158607946,10.10163228,0.016813693,-1.454709058,0,36.63,14.6,12.4,11.2,18.3,15.32,8,2.04,0.066781101,0.049,0.812,0.139
1115055,PNFP,2/27/2017,0,0.070871722,5.634301914,0.006724931,-1.63004961,0,36.63,14.6,12.4,11.2,16.9,14.05,14.5,2.02,0.050656151,0.047,0.796,0.157
826326,ARCW,9/9/2016,1.320132013,15.18151815,20.1320132,0.036072801,-1.672240803,0,36.63,14.6,12.4,11.2,17.4,14.63,7,6.1,0.044143533,0.06,0.809,0.132
1070081,PTCT,3/2/2015,0,7.582870963,23.61644615,0.06321123,-1.72143975,0,36.63,14.6,12.4,11.2,18,15.38,6.5,5.96,0.050026844,0.049,0.822,0.129
877422,SPTN,3/1/2017,-0.345025877,-11.75963197,-8.884416331,0.012063752,-1.862464183,0,36.63,14.6,12.4,11.2,17.4,14.74,11,6.09,,,,
40987,GPC,2/26/2016,-0.668419899,-0.887573965,10.12491782,0.007055888,-1.872210733,0,36.63,14.6,12.4,11.2,17.8,15.26,13.5,6.43,0.052539611,0.035,0.847,0.118
1090727,UPS,2/21/2017,0,-1.178982547,-6.256962495,0.00727389,-1.9494987,0,36.63,14.6,12.4,11.2,17.6,14.97,12,5.97,0.064116354,0.043,0.794,0.163
1322439,EGLE,4/30/2015,-3.937947494,-3.69928401,11.81384248,6.130580421,-1.951779564,0,36.63,14.6,12.4,11.2,17,13.99,19,6.06,0.060791537,0.05,0.814,0.136
706688,AAN,3/2/2015,0,-2.051799529,-7.399932728,0.006386109,-2.085435587,0,36.63,14.6,12.4,11.2,17.4,14.22,14.5,5.76,0.05746789,0.035,0.802,0.162
1360214,IMMY,3/23/2016,0.242718447,1.699029126,-10.67961165,0.018785834,-2.189781022,0,36.63,14.6,12.4,11.2,17.1,14.45,8,6.06,0.058935818,0.041,0.828,0.131
1104506,INSM,2/25/2016,-6.718346253,-9.302325581,-17.3126615,0.0352995,-2.340597256,0,36.63,14.6,12.4,11.2,17.4,14.45,11,5.87,0.062791739,0.044,0.804,0.152
863110,ARTNA,3/11/2016,-0.299289188,-3.55405911,-13.35578002,0.009734599,-2.349869452,0,36.63,14.6,12.4,11.2,18.2,15.61,6,1.96,0.139347681,0.026,0.858,0.116
108312,WWD,11/12/2015,-2.671009772,-2.605863192,3.865363735,0.022609553,-2.58037225,0,36.63,14.6,12.4,11.2,17.9,15.26,11.5,6.05,0.060242163,0.039,0.82,0.141
1172222,HA,2/9/2015,0,-1.353503185,-28.55626327,0.084972842,-2.653927813,0,36.63,14.6,12.4,11.2,17.6,14.51,13.5,2.04,0.034428172,0.037,0.82,0.143
102752,VSEC,3/1/2017,-1.34529148,-3.587443946,9.990034878,0.007985351,-2.654867257,0,36.63,14.6,12.4,11.2,17.6,14.8,8,2.05,0.010903123,0.04,0.839,0.121
100885,UNP,2/6/2015,-0.853788687,3.77637304,7.355717921,0.014166683,-2.767602768,0,36.63,14.6,12.4,11.2,17.5,14.92,14,6.09,0.038528719,0.047,0.818,0.135
1543643,CUNB,4/28/2016,-3.084274544,5.169417897,7.124239791,0.02047788,-2.907711757,0,36.63,14.6,12.4,11.2,17.9,15.03,8,6.01,0.067999617,0.049,0.794,0.157
1061983,CYTK,3/6/2017,0,8.438818565,1.687763713,0.025679682,-2.953586498,0,36.63,14.6,12.4,11.2,17.6,14.57,18,5.95,0.047917099,0.044,0.804,0.153
1538267,SDR,3/13/2015,-2.588235294,-7.058823529,-10.11764706,0.012485064,-2.981651376,0,36.63,14.6,12.4,11.2,18,15.03,7,6.06,0.042791579,0.037,0.747,0.216
1441236,CLW,2/22/2017,-2.108963093,-5.799648506,-10.01757469,0.010691999,-3.184165232,0,36.63,14.6,12.4,11.2,17.7,14.86,13.5,5.88,,,,
1232524,JAZZ,4/24/2015,0.174216028,1.18255728,8.615774469,0.010388039,-3.225977048,0,36.63,14.6,12.4,11.2,17.4,14.39,14,2.04,0.028942703,0.053,0.826,0.121
1337619,ENV,2/29/2016,0,-8.044856168,-14.67576792,0.044702725,-3.315455875,0,36.63,14.6,12.4,11.2,18.1,15.09,11,2.06,0.059309291,0.047,0.805,0.148
1008848,ACOR,2/27/2017,0,7.664233577,28.46715328,0.032461912,-3.467153285,0,36.63,14.6,12.4,11.2,18,15.15,11.5,6.13,0.055854449,0.044,0.833,0.123
1520048,NDRO,3/12/2015,-0.883002208,-7.947019868,-10.59602649,0.01722428,-3.501094092,0,36.63,14.6,12.4,11.2,17.6,14.51,11,6.12,0.047372678,0.035,0.748,0.217
1377630,NCMI,2/26/2016,-4.377104377,-1.346801347,-1.481481481,0.01757291,-3.548387097,0,36.63,14.6,12.4,11.2,17.4,14.68,11,6.19,0.051925274,0.038,0.823,0.14
1383701,CNAT,3/13/2015,-2.097902098,-5.769230769,-4.895104895,0.0361799,-3.595890411,0,36.63,14.6,12.4,11.2,17.5,14.92,11,6.21,0.059891049,0.053,0.814,0.133
1512077,ENT,9/24/2015,0.169204738,-1.353637902,8.883248731,0.009008489,-3.728813559,0,36.63,14.6,12.4,11.2,17.3,14.45,14,5.94,0.051438996,0.047,0.809,0.143
899866,ALXN,2/6/2015,-1.446222172,-4.332972727,-7.003359335,0.024122821,-3.788516585,0,36.63,14.6,12.4,11.2,17.8,15.09,11,5.94,0.050671826,0.046,0.805,0.149
